index,review_title,rating
430,"I would definitely recommend the place, leaving the place with very positive thoughts",9.6
431,I loved everything about the hotel. It was nice.,9
432,the location makes the hotel a good choice.,7.1
433,"Excellent for a weekend stay in the city, great for access to the train station",9.6
434,Little gem,10
435,fair,7.1
436,Good variant for business trip,9.2
437,Good hotel for a night close to the airport,8
438,Exceptional,9.6
439,Exceptional,10
440,Superb,9
441,worth money,8.8
442,Exceptional,9.6
443,Exceptional,10
444,Fabulous,8.8
445,Exceptional,9.6
446,Good,7.1
447,We highly recommend!!!,10
448,I think I’ll be back,9.2
449,Gent beautiful city that will get a yearly visit from us.,7.5
450,"Perfect Stay , For one night.",9.2
451,Really not good,5
452,Pleasant,6.7
453,Good choice.,9.2
454,"I still like the hotel, but charging extra for parking & early check-in makes it expensive (+10-20%)",8
455,Exceptional,9.6
456,Superb,9.2
457,Beautiful Gent,9.6
458,Very good,9.6
459,alles was in orde,10
460,Hotel conveniently located close to the port and public transport to town centre,8.3
461,Lovely,8
462,Superb,9
463,Good,7.9
464,Very good,8
465,Fabulous,8.8
466,A great stay!,9
467,Good,7.9
468,Very good,8.3
469,Good,7
470,Exceptional,10
471,A home away from home,10
472,Superb,9.2
473,Good for a short stay,7
474,Superb,9
475,really nice and very close to the center,9
476,Great base in the heart of Ghent.,8.3
477,Very good,8.3
478,Good,7
479,Exceptional,10
480,Great stay in Bruges,10
481,Exceptional,10
482,Exceptional,10
483,Very good,8
484,Superb,9.2
485,Perfect Location,8
486,Bardzo  dobry.  Poleciała bym,9.6
487,Great Christmas markets!,9.5
488,Good,7
489,Such an amazing stay!,10
490,Exceptional,10
491,"Stay was excellent, I have absolutely no complaints, I felt very good there and welcomed.",10
492,Simply the best hotel in Minsk,9.6
493,Thank you,7
494,Exceptional,10
495,Exceptional,10
496,Great Hotel for exploring Centre of Ghent,8
497,Superb,9.2
498,Very good,8
499,Perfect place for weekend couple getaway.,9
500,It's overpriced for what you get!,3.8
501,Awesome time,9
502,Exceptional,10
503,OK hotel for one night at airport,8
504,Good value for money and a great location to start discover Brussels city center!,8
505,Fun in the City,7.9
506,Fantastic stay! Thank you so much,10
507,Very nice B&B,9
508,Very good,8
509,Wonderful stay!,9
510,Minsk - great place to visit,8.3
511,Very good,8
512,Excellent stay,10
513,"Great location for City access, pre booked parking is a MUST. Clean. Friendly helpful staff.",7.9
514,Exceptional,10
515,A perfect three nights and days in Bruges despite some wind and rain.,10
516,Very good,8
517,Exceptional,10
518,Superb,9.2
519,Quite expensive but breakfast is delicious,6.7
520,Exceptional,10
521,Passable,5
522,"Excellent staff, rooms and breakfast and will return.",10
523,Beautiful room easy check in host amazing,10
524,Very good choice for family trip,9
525,Nice short stay in Blankenberge,8
526,Exceptional,10
527,Good,7
528,Exceptional,10
529,Exceptional,10
530,Lovely! I recommend it!,9.6
531,A brilliant short stay,10
532,Big towels,
533,Friendliness and helpfulness of Katrien,
