index,review_title,rating
14109,Amazing and relaxing stay,10
14110,Good,7
14111,Exceptional,9.6
14112,Nice hotel in the centre of beautiful Hasselt!,9.6
14113,Good,7.9
14114,Good,7.9
14115,Exceptional,10
14116,Superb,9
14117,Nice and strategic hotel,8
14118,It was nice,6
14119,It was fair for the price but far from the center,6
14120,Great location friendly staff clean hotel,10
14121,"Fantastic location near Grande Place with excellent bars nearby, good price and helpful staff.",9.2
14122,Fabulous,8.8
14123,Fab hotel,10
14124,Exceptional,10
14125,Good,7
14126,One of the best set up and atmosphere that I have had in the past 5 years travelling .,10
14127,Pleasant,6
14128,Staff upon check-in was unfriendly. Good enough for just catching a few hours of sleep.,5
14129,Good,7.5
14130,Superb,9
14131,Exceptional,10
14132,Superb,9
14133,Position of the hotel,
14134,Exceptional,10
14135,Good,7.1
14136,Exceptional,10
14137,Very good,8.3
14138,Exceptional,10
14139,Exceptional,10
14140,Fabulous,8.8
14141,Ordinary hotel with exceptional breakfest,7
14142,Would stay here again and recommend it to anyone,10
14143,Very good,8
14144,"really, really outstanding!",10
14145,Good,7.9
14146,Exceptional,10
14147,Cozy and comfortable place to stay!,10
14148,Exceptional,10
14149,Exceptional,10
14150,Superb,9
14151,Good,7.1
14152,Exceptional,10
14153,Pleasant,6.3
14154,Exceptional,9.6
14155,Beautiful cosy house!!,10
14156,"Amazing location, lovely family run hotel",9.6
14157,Fabulous,8.8
14158,Very good,8
14159,Superb,9
14160,Lovely little pension in the heart of Brugge,9
14161,Fabulous,8.8
14162,Excellent accommodation in a quiet area very close to the city centre.Ticked all the boxes.,10
14163,Exceptional,10
14164,Exceptional,10
14165,Good value close to the centre,8.8
14166,Everything was perfect !,10
14167,A really wonderful stay - would stay there again.,9.6
14168,Exceptional,9.6
14169,We weren't told about the renovation works.,7.1
14170,Very good,8.3
14171,Superb,9.2
14172,We loved the stay there.,9
14173,Superb,9
14174,Alison &Samy,10
14175,Exceptional,10
14176,Pleasant,6.7
14177,Exceptional,10
14178,Fabulous,8.8
14179,Good,7
14180,Exceptional,10
14181,Great stay,8
14182,Exceptional,10
14183,very good position,8.3
14184,"Very comfortable, enjoyable stay at guesthouse Mirabel.",9
14185,Superb,9
14186,Superb,9
14187,Exceptional,10
14188,Unforgettable as a romantic place to return  with quality and value for money,10
14189,Exceptional,9.6
14190,"I am interested,thanks",8.3
14191,Exceptional,10
14192,Very good,8
14193,Patricia s of every detail and make you feel at home but with the sense of luxus of hotels. Nice sho,10
14194,Exceptional,10
14195,A wonderful and romantic hidden treasure,10
14196,I recommend living in it,8
14197,Superb,9
14198,Exceptional,10
14199,"Great Location, friendly hotel!",8.3
14200,Highly recommend...,10
14201,Exceptional,10
14202,Good,7.9
14203,Highly recommended,9
14204,Unique B&B in the heart of Mechelen,10
14205,Very good,8
14206,Enjoyable,10
14207,Very good,8.3
14208,An excellent place from which to Visit Brussels,7.5
14209,Exceptional,10
14210,"Perfect location, beautiful and quaint guesthouse.",9
14211,Very good,8.3
14212,Exceptional,10
14213,Exceptional,9.6
14214,I enjoyed my stay and I could leave my bike in the garage.,8.8
14215,Very nice B&B,8.8
14216,Lovely authentic house in the centre of Mechelen,10
14217,Exceptional,10
14218,We will definitely stay at the Van der Valk hotel when we visit Antwerpen again.,10
14219,Good,7.1
14220,Staying longer will make you want to live there permanently :),8.3
14221,Superb,9.2
14222,Exceptional,10
14223,Excellent location. Strongly recommended,9.2
14224,Great spot to explore Brugge from.,10
14225,Fantastic apartment in a small and cosy town!,10
14226,Fabulous host and very welcoming,10
14227,Exceptional,10
14228,Will return when no festival.,10
14229,Highly recommended,10
14230,Exceptional,10
14231,Exceptional,10
14232,Very good,8.3
14233,Superb,9
14234,Exceptional,10
14235,Good,7.5
14236,Superb,9.2
14237,Great place!,10
14238,Superb,9.2
14239,Good,7.5
14240,Great location,7.5
14241,Pleasant,6.7
14242,Top!!,10
14243,Exceptional,10
14244,We enjoyed our stay and would return.,10
14245,Exceptional,10
14246,Disappointing,4.6
14247,Exceptional,10
14248,Exceptional,10
14249,Good,7.1
14250,Exceptional,10
14251,Perfect quiet location right next to the canals and walking distance to important sights in Bruge ce,9.2
14252,Good,7.5
14253,A Perfect Stay,10
14254,"Beautiful apartment, super clean, well-equipped, thoughtful and considerate host!",10
14255,Very good,8.3
14256,Good,7.1
14257,A very enjoyable stay!,9.2
14258,Pleasant,6.7
14259,very nice and comfortable holiday home close to maastricht,9
14260,Hospitable,9.6
14261,"B & B Chester is a terrific little find, we definitely be staying here again.",10
14262,"Great location, extremely pleasant and comfortable.",10
14263,Good,7.5
14264,"Great room, great beds, but breakfast needs get better!",7
14265,Exceptional,10
14266,Location and facilities are really assist us,8.8
14267,Exceptional,10
14268,Exceptional,10
14269,Nice place to stay but beware there is no air conditioning if you are going in summer,8.8
14270,"Great staff, great guesthouse, fantastic location",9
14271,Exceptional,10
14272,"A large, clean, basic value for money hotel close to the major city attractions and transport links",9.2
14273,Exceptional,9.6
14274,A very pleasant and friendly experience.,9.2
14275,Pleasant,6.7
14276,"Perfect all year round holiday home, can only recommend it !",9
14277,We would stay here again.,9.6
14278,"Excellent B&B, very clean and friendly.",9
14279,Fabulous,8.8
14280,Exceptional,10
14281,Was more than expected,9
14282,Exceptional,10
14283,Superb,9.2
14284,Superb,9.2
14285,Beautiful quality room perfectly located in the centre of town.,10
14286,Pleasant,6.7
14287,Exceptional,10
14288,Exceptional,10
14289,Very enjoyable. Will recommend.,9.6
14290,Fabulous,8.8
14291,"If your are going to Bruges for a leisure trip, this is the ideal hotel to make your trip to.",10
14292,Fabulous,8.8
14293,Superb,9
14294,A great bed-and-breakfast in Ieper (Ypres) - quiet yet within walking distance of the downtown.,10
14295,Exceptional,10
14296,Exceptional,10
14297,Superb,9
14298,Exceptional,10
14299,Fabulous,8.8
14300,Exceptional,9.6
14301,"We celebrated our 10 year anniversary in Bruges, and this place was the icing on the cake.",10
14302,Clean and modern and the perfect choice for a one night stay.,6.7
14303,Excellent.,10
14304,Exceptional,10
14305,Very good,8.8
14306,Exceptional,10
14307,Exceptional,10
14308,Good,7.1
14309,"Very nice and clean apartment, comfortable garden for BBQ'ing",9
14310,Good,7.9
14311,Exceptional,10
14312,Exceptional,9.6
14313,Good,7
14314,Exceptional,10
14315,great location,7.9
14316,Fabulous,8.8
14317,Exceptional,10
14318,Recommended,10
14319,What a place!,9
14320,Exceptional,10
14321,Fabulous,8.8
14322,Exceptional,10
14323,Exceptional,10
14324,Good,7.9
14325,Home from home,10
14326,A little gem,10
14327,Very good location close to downtown,9.2
14328,Good,7
14329,Poor,3
14330,Perfect location and spacious apartment.,7.9
14331,Exceptional,9.6
14332,Luxury in the heart of Bruges.,9.2
14333,Lovely boutique hotel,9.6
14334,Great hotel,9.6
14335,Superb,9
14336,Fabulous,8.8
14337,Good,7.5
14338,Excellent hotel,9.2
14339,Pleasant,6.3
14340,A relaxing weekend in Ypres.,10
14341,Exceptional,10
14342,Live in a historic home,9.6
14343,Excelent!,9.2
14344,Pleasant,6.7
14345,Good,7.9
14346,Very good,8.3
14347,Fabulous,8.8
14348,Very poor,2
14349,We really enjoyed ourselves. Thank you,10
14350,Exceptional,10
14351,Superb,9.2
14352,Exceptional,10
14353,Cosy wee hotel in perfect central location,8.8
14354,Good,7.9
14355,Enjoyable,10
14356,Exceptional,10
14357,Exceptional,9.6
14358,"Excellent hotel, good food. Location good for access to centre.",9.6
14359,Central Location,10
14360,Good,7.9
14361,Good,7
14362,Exceptional,10
14363,Exceptional,10
14364,Wonderful,10
14365,Exceptional,9.6
14366,Fabulous,8.8
14367,Exceptional,9.6
14368,Overall the hotel was very pleasant and in easy walking distance to all amenities,8.3
14369,Fabulous,8.8
14370,Exceptional,10
14371,Excellent,10
14372,Feel at home,10
14373,Nice hotel but far from the city center,9.2
14374,Exceptional,10
14375,Good,7.9
14376,Exceptional,10
14377,100% value for money,10
14378,Great location to see the best part of Bruges and a nice big bathtub!,10
14379,Fabulous,8.8
14380,Superb,9.2
14381,Exceptional,10
14382,Great location and very good value.,10
14383,Very good,8.3
14384,Great B&B,9.6
14385,Fabulous,8.8
14386,"Mechelen is great in itself and great, too, for visiting other cities by train",10
14387,Fabulous,8.8
14388,Exceptional,10
14389,"we’re having so much fun. love brussel, love smart flats!",6.7
14390,Perfection.,10
14391,Pleasant,6
14392,Exceptional,10
14393,Passable,5
14394,Fabulous,8.8
14395,Good,7.9
14396,We will be back!,10
14397,great location!,
14398,Very poor,1
14399,We hope to stay again on our return journey.,10
14400,Exceptional,10
14401,Superb,9
14402,Very good,8.3
14403,Pleasant,6.7
14404,"In the heart of central Brussels, a spacious convenient apartment, but also a bit loud",7.9
14405,"Great location, lovely staff.",8.3
14406,A bad night,3
14407,Exceptional,10
14408,Good,7.1
14409,Very good,8
14410,Charming stay,9.2
14411,Passable,5
14412,Exceptional,10
14413,Incredible stay in Bruges,10
14414,Superb,9
14415,Great for overnight stay,7.5
14416,Exceptional,10
14417,Great value for a nice price,7.5
14418,Great suite,10
14419,One of the best places to stay in the heart of Bruxelles,10
14420,Exceptional,10
14421,Great hospitality and comfortable stay,9.6
14422,Fabulous,8.8
14423,Nice holiday in hotel Malleberg,9.6
14424,Exceptional,10
14425,Exceptional,9.6
14426,Superb,9.2
14427,Exceptional,10
14428,Jullie zijn perfect,10
14429,Exceptional,10
14430,Superb,9.2
14431,Great location. Great guest house and great staff.,10
14432,Exceptional,10
14433,Nice to stay,7.5
14434,Exceptional,9.6
14435,Exceptional,9.6
14436,Exceptional,10
14437,A gem in Ypres.,10
14438,Exceptional,10
14439,Exceptional,9.6
14440,"Comfortable, nice place to stay",10
14441,Exceptional,10
14442,"We had quite a good stay at Smartflats Monnaie, nice central apartment and very practical for meals.",7.9
14443,Exceptional,10
14444,Great location but way too expensive for what's offered.,6
14445,Very good,8.3
14446,Superb,9.2
14447,Exceptional,9.6
14448,Poor,3
14449,Exceptionally good value for money,10
14450,Perfect,10
14451,Exceptional,10
14452,Pleasant,6
14453,Exceptional,10
14454,wide room amd citry center,7.9
14455,Great location though they can make some improvements,6
14456,Good,7.5
14457,Superb,9.2
14458,"Birthday weekend, had a great time and would stay at this hotel again.",9.5
14459,Exceptional,10
14460,Excellent place to stay to see the local attractions,10
14461,The walk into town was enjoyable ,
14462,The breakfast was very filling. ,
14463,The accommodation as a whole was very comfortable,
14464,Exceptional,9.6
14465,Exceptional,10
14466,Exceptional,10
14467,Pleasant,6.3
14468,Some problems at stay in Monnaie,5
14469,Excellent location - good for short stay,6
14470,Exceptional,9.6
14471,Superb,9.2
14472,Brilliant in every way,9.2
14473,Exceptional,10
14474,"Easy to find, excellent service with a very homely welcome, really felt at ease",9.6
14475,Two days is enough time to see Bruges...,10
14476,Superb,9.2
14477,Okay for a Business traveler. No more than a one nighter. Restaurant and breakfast below vdV strds.,5
14478,Exceptional,10
14479,Deposit money/warranty not released - bad Customer Service !,1
14480,Exceptional,9.6
14481,Exceptional,9.6
14482,Superb,9.2
14483,Superb,9
14484,Great place to stay,10
14485,Outstanding small hotel in Brugge,10
14486,Exceptional,9.6
14487,A weekend in Antwerp,10
14488,Exceptional,10
14489,Exceptional,9.6
14490,Good,7.1
14491,Fabulous,8.8
14492,Exceptional,10
14493,Bob,10
14494,Exceptional,10
14495,Fireplace in the room,
14496,Very nice welcoming and service,
14497,Wonderful modern interieur design,
14498,Superb location right in the city centre,
14499,"A beautiful apartment, exquisite furnishings, great location, terrific breakfast.",10
14500,Exceptional,10
14501,Exceptional,10
14502,A good choice for a short business trip. The undergoing construction works were not too disturbing.,7.1
14503,Good,7.9
14504,Exceptional,10
14505,Exceptional,10
14506,WONDERFUL! 🍁💕,10
14507,Best stay in Brugge,10
14508,Good,7.5
14509,Exceptional,10
14510,Excellent stay,10
14511,It was a pleasant stay.,9.6
14512,Good,7
14513,We felt so safe during our stay,8.3
14514,Superb,9.2
14515,Superb,9
14516,Superb,9
14517,Exceptional,10
14518,Good,7.5
14519,Very good,8.3
14520,Excellent location to tour around the city.,8.3
14521,great stay but short.,9
14522,Very good,8
14523,Exceptional,10
14524,Very good,8.5
14525,Superb,9.2
14526,Very good location and facilities,8.3
14527,Exceptional,10
14528,Exceptional,9.6
14529,Superb,9.2
14530,Charming hotel for a bruges stay,9.6
14531,Exceptional,10
14532,Fabulous,8.8
14533,Good,7.9
14534,Exceptional,9.6
14535,Superb,9
14536,Exceptional,9.6
14537,Exceptional,10
14538,A wonderful stay in beautiful Brugges!,10
14539,Good hotel except the thin walls...,8
14540,Just wonderful!,10
14541,Exceptional,9.6
14542,Fabulous,8.8
14543,Idea lfor a 1-3 day stay and convenient for travelling between Channel ports and Central Europe,10
14544,Superb,9.2
14545,Exceptional,10
14546,Very good,8
14547,Exceptional,10
14548,Exceptional,10
14549,Pleasant,6.7
14550,Wonderful B&B,10
14551,Exceptional,10
14552,"Very comfortable guesthouse, very friendly staff, great food!",10
14553,Superb,9
14554,Beautiful wooden house with incredible cosy/romantic decoration!,7.9
14555,Pleasant,6.3
14556,Great for a chill out holiday,10
14557,Top rate accommodation and very friendly/helpful owner,10
14558,Exceptional,10
14559,Lovely charming hotel and owner,8.8
14560,Fabulous,8.8
14561,Exceptional,10
14562,Pleasant,6.3
14563,Not as good as normal but owner took 50percent off cost,5.8
14564,Exceptional,10
14565,Fabulous,8.8
14566,Exceptional,10
14567,"Very good set in the old town,it was fabulous.",10
14568,Very good,8.3
14569,Very good,8.3
14570,Exceptional,9.6
14571,Couldent ask for any more,10
14572,Quality stay,8
14573,Very good,8.3
14574,Superb,9.2
14575,Superb,9.2
14576,Exceptional,9.5
14577,Exceptional,9.6
14578,Location is excellent,5.4
14579,Great,10
14580,Superb,9.2
14581,Exceptional,10
14582,Good,7.5
14583,Wonderful experience . The right place at the right price.,10
14584,Good,7.9
14585,Pleasant,6
14586,"CLOSE TO THE CENTER OF BRUSSELS WITHOUT THE NOISE, ALSO A GOOD AREA FOR RESTAURANTS",10
14587,Superb,9
14588,Exceptional,10
14589,Exceptional,10
14590,Exceptional,10
14591,Very good,8.3
14592,Exceptional,10
14593,Good,7.9
14594,Exceptional,10
14595,Practical.Friendly staff.,8.3
14596,Exceptional,10
14597,Superb,9
14598,Exceptional,10
14599,Exceptional,9.6
14600,Superb,9
14601,Good night stay in inner city,9.2
14602,Good,7.1
14603,Very nice place for short stay,8
14604,West a gem,9
14605,Superb,9.2
14606,"My husband, cousin and his wife had a wonderful stay.",10
14607,Superb,9.2
14608,Exceptional,10
14609,Exceptional,9.6
14610,Exceptional,10
14611,Great stay!,10
14612,Very good,8
14613,Exceptional,9.6
14614,Exceptional,10
14615,Very good,8
14616,Superb,9
14617,Exceptional,9.6
14618,Exceptional,10
14619,Very good,8.3
14620,Not bad.,6.3
14621,Exceptional,9.6
14622,Exceptional,10
14623,Exceptional,10
14624,Very good,8
14625,Great appartment in the city center,9
14626,Exceptional,10
14627,Superb,9.2
14628,Fabulous,8.8
14629,Exceptional,9.6
14630,Superb,9
14631,Exceptional,10
14632,Exceptional,9.6
14633,We all had a great few days in Brugge. I highly reccomend it.,9.6
14634,Fabulous,8.8
14635,Not worth the price.,5
14636,Superb,9.2
14637,Lovely helpful hosts made me very welcome and definitely made a positive difference,8
14638,Good basic central room,7
14639,Very good,8
14640,Excellent.,9
14641,"Quiet stay, I would go back",8
14642,Exceptional,10
14643,Exceptional,9.6
14644,Great location for a holiday nearby the sea,9
14645,Hotel is nice. Area not safe,9.2
14646,Exceptional,10
14647,"Great location, nice staff, great value",8
14648,Exceptional,10
14649,Fabulous,8.8
14650,Excellent,9.2
14651,Great place for a business person to stay but out of the way,9.2
14652,Exceptional,10
14653,Exceptional,9.6
14654,A great place but the toilet is part of your room,7
14655,Very good,8
14656,Really good night over all.,7.9
14657,"Excellent location, comfortable, quiet, stylish and spotlessly clean.",9
14658,Pleasant,6
14659,Good,7
14660,Exceptional,10
14661,Superb,9.2
14662,Superb,9
14663,good value for money,9.2
14664,Exceptional,9.6
14665,basic but staff tried hard,8
14666,Exceptional,9.6
14667,Good,7.9
14668,Exceptional,10
14669,Good,7.1
14670,Disappointing,4.6
14671,Fantastic,10
14672,Good for one night.,7
14673,1 night stay to visit Leuven,7.9
14674,Superb,9.2
14675,Exceptional,10
14676,"If thzre is no wifi in the future, I shall never go there again.",7
14677,Fantastic,7
14678,Exceptional,10
14679,Exceptional,10
14680,Very good,8
14681,"It is a good place to stay, some small weaknesses pointed out should be improved.",8
14682,Good,7.9
14683,Exceptional,10
14684,Fabulous,8.8
14685,Good,7.1
14686,We'd certainly go back!,10
14687,Good,7.9
14688,Would recommend only for the location,5.8
14689,Fabulous,8.8
14690,Superb,9
14691,Very good,8
14692,Pleasant,6.7
14693,Exceptional,9.6
14694,Pleasant,6.3
14695,Nice to stay,8
14696,Exceptional,10
14697,Exceptional,10
14698,Fabulous,8.8
14699,Very good,8.3
14700,Exceptional,10
14701,Fabulous,8.8
14702,Good,7.5
14703,Great overall,9.6
14704,Fabulous,8.8
14705,Comfortable and clean hotel with an excellent location,9.6
14706,Very good,8.3
14707,Pleasant,6
14708,Very good,8.3
14709,Exceptional,10
14710,"Fairly good value, well located, basic accommodation",7
14711,Perfect family hotel!,8
14712,Amazing,10
14713,Superb,9
14714,Ok,7.1
14715,Exceptional,10
14716,Exceptional,10
14717,Good,7.1
14718,Very poor,1
14719,"A lovely place to stay with character, rooms were very spacious and Gaston was very helpful",10
14720,Where we wanted to be.,8.8
14721,Excellent for a City Trip,9.6
14722,"Superb apartment, we'll be moving in.  Location perfect",10
14723,Fair,7.5
14724,Exceptional,10
14725,wonderful stay,10
14726,Passable,5.4
14727,Family break,8.3
14728,Exceptional,10
14729,Exceptional,10
14730,Good,7.5
14731,Good,7.9
14732,Very good,8
14733,An average hotel in a nice location,7.1
14734,Exceptional,10
14735,Exceptional,10
14736,Good quality.,8.8
14737,Great location but massively overpriced,5
14738,Fabulous,8.8
14739,It was a perfect choice for a KU university confrence 👍👍,7.5
14740,Exceptional,10
14741,Exceptional,10
14742,We will definitely stay here during our next visit to Brussels!,
14743,Very good,8.3
14744,charming hotel at De Panne,8
14745,Exceptional,9.6
14746,Exceptional,10
14747,Superb,9.2
14748,Exceptional,10
14749,Very good,8
14750,Superb,9
14751,Exceptional,10
14752,ENJOYABLE,8.3
14753,"Nice quiet, clean hotel with friendly staff",9.2
14754,Would recommend!,10
14755,Exceptional,10
14756,Perfect location and good for the value,8
14757,Good,7.5
14758,Exceptional,9.6
14759,"Beds were clean, room was tiny, lighting was very poor. No mirrors...",5.8
14760,modern facilities and nice breakfast buffet,9
14761,Exceptional,10
14762,Good value for money during February,7.9
14763,Fabulous,8.8
14764,Superb,9
14765,polecam,9
14766,Exceptional,10
14767,Wonderful!,10
14768,I have expected better for this price,5
14769,Hotel was in a good location for easy walking to sites and friendly staff.,5
14770,Exceptional,10
14771,Very good,8.3
14772,True West-Flemish what-you-see-is-what-you-get no frills style B&B. Very clean rooms.,9.6
14773,Exceptional,10
14774,Pleasant,6.3
14775,Would not book again this hotel,7.9
14776,Superb,9.2
14777,Will return,8.3
14778,Exceptional,10
14779,Exceptional,10
14780,Superb,9
14781,Passable,5
14782,Superb,9.2
14783,Pleasant,6.7
14784,Exceptional,9.6
14785,The lady at the dask was nice,
14786,Good,7.5
14787,Good,7.5
14788,Exceptional,10
14789,Superb,9.2
14790,Passable,5.4
14791,I've been to Parkhotel several times and I will certainly be going back.,9
14792,Superb,9.2
14793,I liked my stay and I will be happy to come back.,7.9
14794,Exceptional,10
14795,Motel one standard erfüllt.,8
14796,Good,7.5
14797,Exceptional,10
14798,Exceptional,10
14799,Exceptional,10
14800,Pleasant,6.3
14801,Good,7.9
14802,Good,7.1
14803,Great! I will come again :-),10
14804,It would be good to bold that it is in a truck parking.,6.7
14805,Happy to have had kind proprietors/staff attending our stay. Unhappy at our cramped condition.,7.9
14806,Exceptional,10
14807,Good,7.5
14808,Good,7.5
14809,"Prime location, good value for money!",8
14810,Good,7.5
14811,Exceptional,10
14812,Wonderful,9.2
14813,good choice,6.7
14814,"If location is important to you, this hotel is worth a look",9.6
14815,Exceptional,10
14816,Good,7.9
14817,Exceptional,10
14818,Never again,5.4
14819,Fabulous,8.8
14820,Lovely room & location.,9.2
14821,Superb,9.2
14822,Superb,9.2
14823,Exceeded expectations,9
14824,Very good,8
14825,Exceptional,10
14826,"Stunning building, central location, wonderful host",10
14827,Exceptional,10
14828,Very good,8
14829,Exceptional,9.6
14830,Fabulous,8.8
14831,Exceptional,9.6
14832,Exceptional,10
14833,Value for money hotel in heritage area.,7.1
14834,Superb,9.2
14835,Good,7.5
14836,Good,7.5
14837,(Near) perfect hotel,9
14838,Exceptional,10
14839,Exceptional,10
14840,Unexpectedly good,9.6
14841,Wouldn't recommend for more than one night,5
14842,"Well-located, with clean and comfortable rooms and a good breakfast available.",9
14843,Nice hotel at a great location,8.8
14844,Lovely place!,10
14845,Disappointing,4
14846,Friendly hotel in a lovely neighborhood. Very close to the center and to the sea. Great Breakfast.,9.2
14847,Very close to the center and to the sea.,
14848,Friendly staff and great breakfast.,
14849,Exceptional,10
14850,Nice but too expensive!,7.1
14851,Good,7.5
14852,Superb,9
14853,Exceptional,10
14854,Exceptional,10
14855,Exceptional,10
14856,Good,7.5
14857,Somewhere to come back to!,9.2
14858,Very poor,1
14859,Most enjoyable. Peaceful. Slept well. Will go back.,9.2
14860,Exceptional,9.6
14861,very good location,9.2
14862,Good,7.5
14863,Exceptional,10
14864,Exceptional,9.6
14865,Exceptional,10
14866,would stay again.,8.3
14867,Nice accommodation close to Schuman station,10
14868,Avoid if you can,4
14869,Good location and value for money,8.8
14870,Lovely hotel in a fantastic location!,10
14871,Fantastic brakfast,7.5
14872,Fabulous,8.8
14873,Corona made everything different,8
14874,Fabulous,8.8
14875,Exceptional,10
14876,Great location.,7.1
14877,Exceptional,10
14878,Never Again,4
14879,"Good for the price, warm and friendly",8.8
14880,Superb,9.2
14881,"£117 may be a little expensive, mainly based on the lack of a steam sauna and limited gym machines.",7.9
14882,Exceptional,10
14883,Exceptional,10
14884,Good,7
14885,Exceptional,10
14886,Good for a quick city-trip!!,7.9
14887,Exceptional,9.6
14888,"Not worth it, do not stay there",1
14889,Excellent value for price in the historic centre of De Panne,8.3
14890,Exceptional,10
14891,Good,7.5
14892,Fabulous,8.8
14893,10-Oct,10
14894,Fabulous,8.8
14895,Exceptional,10
14896,"hotel in the very heart of the city, therefore quite noisy.",7.1
14897,Business trip,10
14898,Superb,9
14899,Very good,8.3
14900,Exceptional,10
14901,Good for a few nights stay,7.9
14902,Good,7.5
14903,We will come again,8
14904,Exceptional,10
14905,Good,7.9
14906,Pleasant,6.3
14907,Great overnight stop en route to ports,10
14908,"Basic, but good price for the room.",7.5
14909,Exceptional,10
14910,Fabulous,8.8
14911,Central location just by the Rogier public transport center,
14912,Superb,9.2
14913,Very good,8
14914,Not what I expected based on the ad on Booking.com,6.3
14915,Exceptional,10
14916,Truck stop motel masquerading as a hotel.,4
14917,A pleasant gem!,9.2
14918,Exceptional,10
14919,Better than average value for money in the expensive Rogier area,7.1
14920,Good,7.9
14921,Exceptional,10
14922,Pleasant,6.3
14923,Superb,9
14924,Exceptional,9.6
14925,"Stayed in the hotel for one night as passing through, very close to the town and seaside ,lovely,",7.5
14926,Good,7.5
14927,could be worse,4.6
14928,Enjoyable,7.5
14929,Good,7.5
14930,Staff were wonderful very helpful I driven for 15 hours so they were quick and efficient,8.8
14931,Exceptional,10
14932,Good,7
14933,Exceptional,10
14934,Good,7
14935,Superb,9
14936,Superb,9
14937,Exceptional Hospitality in Damme,9
14938,Good,7
14939,Superb,9
14940,Very comfortable for a short stay and in an ideal spot for exploring the city.,8
14941,"A very well located B&B for visiting Bruges, Ostend or Ghent.  In an rustic atmosphere, beautifully renovated rooms",9.6
14942,Superb,9
14943,Good,7.9
14944,Just perfect,10
14945,Superb,9.2
14946,Lovely locarion,
14947,Good,7
14948,Superb,9
14949,Awesome Location,10
14950,Superb,9.2
14951,Nice stay,7
14952,Good,7
14953,Exceptional,10
14954,Would Recommend,8.3
14955,"OK, not great",7
14956,Very good,8
14957,Good,7.1
14958,Superb,9.2
14959,Good,7.1
14960,Place truly recommended,10
14961,Exceptional,10
14962,Exceptional,9.6
14963,Very enjoyable. Will visit again,9.5
14964,Very good,8
14965,Good,7
14966,Superb,9.2
14967,Very good,8
14968,Very good,8.3
14969,Exceptional,10
14970,Superb,9.2
14971,Good,7.5
14972,Exceptional,10
14973,We truly enjoyed staying at Steenhoven Hoeve.,9.2
14974,Fabulous,8.8
14975,Superb,9
14976,Fabulous,8.8
14977,Excellent stay good clean hotel with excellent location great value.,9
14978,Very good,8.3
14979,Good,7
14980,great stay stylish  hotel,9
14981,Superb,9.2
14982,"Perfect place to stay, dependent on why you visit this area.",9.2
14983,Superb,9
14984,"Original stay, great location.",9
14985,Very good,8
14986,Fabulous,8.8
14987,Superb,9.2
14988,Very good,8.3
14989,"The house is very cozy, clean, comfortable and with completed cooking stuffs. It’s really a nice place for couples!",10
14990,Exceptional,10
14991,Good,7.1
14992,Exceptional,10
14993,Excellent location,8.3
14994,Recommended,9
14995,Good,7
14996,Good,7.5
14997,Amazing value for money,9
14998,Exceptional,10
14999,Very good,8
15000,I don't risk coming back there.,4
15001,"Simple, Clean and value for money.",7.1
15002,Exceptional,10
15003,Ideal place to stay for Ypres,8.3
15004,Good,7.9
15005,Exceptional,10
15006,Nice stay. Good value for money.,9
15007,"Great comfort, nice staff and close to the metro. Pleasantly satisfied! :-)",8.8
15008,Perfect experience.,10
15009,Superb,9
15010,Pleasant stay,9.2
15011,Very good,8.3
15012,"A comfortable stay, great value.",8
15013,Quiet and cozy place in lush green area,9
15014,Exceptional,10
15015,Good,7
15016,Exceptional,10
15017,Good,7.5
15018,"Relaxing stay, in a lovely hotel, in a beautiful city.",9
15019,Good,7.5
15020,Good,7.1
15021,Superb,9
15022,Modern hotel with a vibrant bar in a good location.,9
15023,Good,7.1
15024,Perfect family spot to stay outside the noise of the cities.,10
15025,Very good,8
15026,Superb,9
15027,Very good,8
15028,"Recommended, also 300 m from Erasme metro station",8
15029,Very nice place to stay. Staff was friendly and helpful. But the bathroom didn’t have air conditioner and toilet paper w,9
15030,Center Parcs in Belgium,7.5
15031,Superb,9
15032,Exceptional,10
15033,Very good,8
15034,Exceptional,10
15035,"All was perfectly OK; reasonable room size, nice and clean room.",8.3
15036,Exceptional,10
15037,Great location,8.8
15038,Location,7.9
15039,Exceptional,9.6
15040,Exceptional,10
15041,Very friendly hosts :-) - heavy traffic :-(,7.9
15042,Superb,9
15043,Simple but elegant,8.8
15044,Good,7.5
15045,Very good,8
15046,Good,7
15047,Great family holiday,6.3
15048,They gave me a free upgrade to the garden suite😊,8
15049,Superb,9.2
15050,Good,7
15051,We will return next summer,9
15052,Superb,9.2
15053,Very nice...and I was pleasantly surprised by the renovations !,9
15054,Excellent,9.2
15055,Very good,8.3
15056,Nice place in center of Brussels,9
15057,Good,7.5
15058,Fabulous,8.8
15059,Exceptional,10
15060,Superb,9
15061,Good,7.1
15062,Nice trendy hotel,9
15063,Superb,9
15064,Good value for money. Could be closer to city. All in all nothing to complain about.,8
15065,Good,7.9
15066,Good,7.5
15067,Great hotel!!,8
15068,Good,7
15069,Good,7.9
15070,Potential to be very good once the noisy works are done,7.9
15071,Comfortable stay in a prime location.,8
15072,Good choice for a short stay in Ypres.,8
15073,Good,7.9
15074,"Great stay, good location and friendly staff. Would visit again.",9
15075,Exceptional,9.6
15076,Exceptional,9.6
15077,Superb,9.2
15078,Memorable and pleasant,9
15079,Very good,8
15080,Always a fabulous stay!,9
15081,Good,7
15082,Good,7
15083,Very good,8
15084,breakfast poor,
